from,to,Mean (data),Std (data),Mean (ref.),Std (ref.),Error
L5_MC,L2_TPC:B,11.5,5.06,,,
L5_MC,L3_TPC:A,8.68,3.2,,,
L5_MC,L3_TPC:C,8.3,3.02,,,
L5_MC,L4_BP,6.78,2.78,,,
L5_MC,L4_BTC,10.3,4.62,,,
L5_MC,L4_CHC,10.1,3.44,,,
L5_MC,L4_DBC,5.26,2.31,,,
L5_MC,L4_LBC,13.1,8.98,,,
L5_MC,L4_MC,12.2,5.85,,,
L5_MC,L4_NBC,12.2,5.2,,,
L5_MC,L4_NGC,6.54,1.98,,,
L5_MC,L4_SBC,12.9,7.38,,,
L5_MC,L4_SSC,9.86,3.83,,,
L5_MC,L4_TPC,13.7,5.75,,,
L5_MC,L4_UPC,11.6,5.63,,,
L5_MC,L5_BP,1.13,0.41600000000000004,,,
L5_MC,L5_BTC,12.1,6.42,,,
L5_MC,L5_CHC,11.8,6.11,,,
L5_MC,L5_DBC,4.3,2.11,,,
L5_MC,L5_LBC,11.6,4.79,,,
L5_MC,L5_MC,12.2,5.41,,,
L5_MC,L5_NBC,12.0,6.05,,,
L5_MC,L5_NGC,6.11,2.96,,,
L5_MC,L5_SBC,11.0,5.03,,,
L5_MC,L5_TPC:A,14.8,7.92,12.0,2.55,53.486150907354364
L5_MC,L5_TPC:B,15.1,8.07,12.0,2.55,58.38041431261769
L5_MC,L5_TPC:C,15.7,6.95,,,
L5_MC,L5_UPC,14.1,6.59,,,
L5_MC,L6_BP,1.06,0.242,,,
L5_MC,L6_BPC,6.65,2.85,,,
L5_MC,L6_BTC,4.33,2.26,,,
L5_MC,L6_CHC,2.62,1.15,,,
L5_MC,L6_DBC,1.18,0.498,,,
L5_MC,L6_HPC,4.95,2.15,,,
L5_MC,L6_IPC,3.11,1.42,,,
L5_MC,L6_LBC,5.06,2.91,,,
L5_MC,L6_MC,5.34,3.94,,,
L5_MC,L6_NBC,4.83,2.62,,,
L5_MC,L6_NGC,1.11,0.314,,,
L5_MC,L6_SBC,3.98,1.88,,,
L5_MC,L6_TPC:A,7.85,5.29,,,
L5_MC,L6_TPC:C,7.73,4.59,,,
L5_MC,L6_UPC,6.23,2.89,,,
L5_NBC,L1_DAC,1.0,0.0,,,
L5_NBC,L1_HAC,1.5,0.5,,,
L5_NBC,L1_LAC,1.0,0.0,,,
L5_NBC,L1_NGC-DA,2.0,0.0,,,
L5_NBC,L1_NGC-SA,1.5,0.5,,,
L5_NBC,L1_SAC,1.0,0.0,,,
L5_NBC,L23_BP,1.1,0.39,,,
L5_NBC,L23_BTC,8.13,4.15,,,
L5_NBC,L23_CHC,6.88,2.32,,,
L5_NBC,L23_DBC,1.09,0.319,,,
L5_NBC,L23_LBC,7.44,3.34,,,
L5_NBC,L23_MC,8.11,3.66,,,
L5_NBC,L23_NBC,6.47,3.21,,,
L5_NBC,L23_NGC,3.39,1.25,,,
L5_NBC,L23_SBC,6.06,2.43,,,
L5_NBC,L2_IPC,1.14,0.375,,,
L5_NBC,L2_TPC:A,1.16,0.467,,,
L5_NBC,L2_TPC:B,1.18,0.753,,,
L5_NBC,L3_TPC:A,8.79,4.27,,,
L5_NBC,L3_TPC:C,8.93,3.91,,,
L5_NBC,L4_BP,5.39,3.53,,,
L5_NBC,L4_BTC,11.9,4.88,,,
L5_NBC,L4_CHC,13.1,5.5,,,
L5_NBC,L4_DBC,7.15,3.15,,,
L5_NBC,L4_LBC,13.8,6.36,,,
L5_NBC,L4_MC,14.9,6.64,,,
L5_NBC,L4_NBC,16.2,8.41,,,
L5_NBC,L4_NGC,10.0,4.94,,,
L5_NBC,L4_SBC,13.3,6.4,,,
L5_NBC,L4_SSC,12.5,5.0,,,
L5_NBC,L4_TPC,17.4,9.08,,,
L5_NBC,L4_UPC,14.0,6.62,,,
L5_NBC,L5_BP,2.7,1.4,,,
L5_NBC,L5_BTC,15.2,5.82,,,
L5_NBC,L5_CHC,14.2,6.3,,,
L5_NBC,L5_DBC,6.74,2.84,,,
L5_NBC,L5_LBC,12.9,6.7,,,
L5_NBC,L5_MC,14.8,6.97,,,
L5_NBC,L5_NBC,14.8,5.83,,,
L5_NBC,L5_NGC,8.52,3.4,,,
L5_NBC,L5_SBC,15.0,7.6,,,
L5_NBC,L5_TPC:A,20.8,8.94,,,
L5_NBC,L5_TPC:B,23.6,10.7,,,
L5_NBC,L5_TPC:C,18.0,8.34,,,
L5_NBC,L5_UPC,17.7,8.19,,,
L5_NBC,L6_BP,1.16,0.441,,,
L5_NBC,L6_BPC,9.39,3.13,,,
L5_NBC,L6_BTC,9.06,4.55,,,
L5_NBC,L6_CHC,7.58,2.88,,,
L5_NBC,L6_DBC,1.06,0.237,,,
L5_NBC,L6_HPC,7.95,2.53,,,
L5_NBC,L6_IPC,10.2,5.67,,,
L5_NBC,L6_LBC,8.83,4.28,,,
L5_NBC,L6_MC,8.93,4.05,,,
L5_NBC,L6_NBC,9.79,5.21,,,
L5_NBC,L6_NGC,4.77,2.12,,,
L5_NBC,L6_SBC,7.8,3.38,,,
L5_NBC,L6_TPC:A,10.3,4.84,,,
L5_NBC,L6_TPC:C,10.5,4.22,,,
L5_NBC,L6_UPC,9.06,5.03,,,
L5_NGC,L23_BTC,2.5,0.5,,,
L5_NGC,L23_DBC,1.0,0.0,,,
L5_NGC,L23_LBC,5.0,1.22,,,
L5_NGC,L23_MC,5.89,1.79,,,
L5_NGC,L23_NBC,1.0,0.0,,,
L5_NGC,L3_TPC:A,1.09,0.384,,,
L5_NGC,L3_TPC:C,1.0,0.0,,,
L5_NGC,L4_BP,1.06,0.22899999999999998,,,
L5_NGC,L4_BTC,10.2,4.77,,,
L5_NGC,L4_CHC,10.0,0.0,,,
L5_NGC,L4_DBC,1.0,0.0,,,
L5_NGC,L4_LBC,8.64,4.36,,,
L5_NGC,L4_MC,9.82,2.78,,,
L5_NGC,L4_NBC,9.78,2.74,,,
L5_NGC,L4_NGC,1.0,0.0,,,
L5_NGC,L4_SBC,10.7,3.86,,,
L5_NGC,L4_SSC,6.54,2.1,,,
L5_NGC,L4_TPC,9.4,4.03,,,
L5_NGC,L4_UPC,7.34,3.04,,,
L5_NGC,L5_BP,1.1,0.298,,,
L5_NGC,L5_BTC,14.0,7.26,,,
L5_NGC,L5_CHC,15.2,6.6,,,
L5_NGC,L5_DBC,5.79,3.7,,,
L5_NGC,L5_LBC,11.7,4.66,,,
L5_NGC,L5_MC,12.2,5.15,,,
L5_NGC,L5_NBC,12.6,5.43,,,
L5_NGC,L5_NGC,8.08,3.12,,,
L5_NGC,L5_SBC,12.4,5.14,,,
L5_NGC,L5_TPC:A,17.6,8.04,,,
L5_NGC,L5_TPC:B,18.0,7.36,,,
L5_NGC,L5_TPC:C,14.4,7.68,,,
L5_NGC,L5_UPC,13.2,5.45,,,
L5_NGC,L6_BP,1.0,0.0,,,
L5_NGC,L6_BPC,10.1,4.6,,,
L5_NGC,L6_BTC,9.31,4.3,,,
L5_NGC,L6_CHC,7.67,2.43,,,
L5_NGC,L6_DBC,1.29,0.7,,,
L5_NGC,L6_HPC,8.31,3.44,,,
L5_NGC,L6_IPC,9.46,3.15,,,
L5_NGC,L6_LBC,10.1,5.42,,,
L5_NGC,L6_MC,9.19,3.07,,,
L5_NGC,L6_NBC,9.1,3.57,,,
L5_NGC,L6_NGC,3.6,1.36,,,
L5_NGC,L6_SBC,8.69,3.39,,,
L5_NGC,L6_TPC:A,8.92,3.57,,,
L5_NGC,L6_TPC:C,9.52,3.63,,,
L5_NGC,L6_UPC,9.13,4.09,,,
L5_SBC,L1_DAC,1.0,0.0,,,
L5_SBC,L1_HAC,7.0,0.0,,,
L5_SBC,L1_SAC,1.0,0.0,,,
L5_SBC,L23_BP,1.0,0.0,,,
L5_SBC,L23_BTC,8.4,3.03,,,
L5_SBC,L23_DBC,1.17,0.373,,,
L5_SBC,L23_LBC,8.06,3.61,,,
L5_SBC,L23_MC,10.8,5.8,,,
L5_SBC,L23_NBC,9.68,4.69,,,
L5_SBC,L23_NGC,2.5,0.5,,,
L5_SBC,L23_SBC,6.91,1.38,,,
L5_SBC,L2_IPC,4.07,1.62,,,
L5_SBC,L2_TPC:A,1.55,0.669,,,
L5_SBC,L2_TPC:B,2.96,0.953,,,
L5_SBC,L3_TPC:A,11.0,5.09,,,
L5_SBC,L3_TPC:C,9.7,3.96,,,
L5_SBC,L4_BP,3.74,1.62,,,
L5_SBC,L4_BTC,12.7,4.6,,,
L5_SBC,L4_CHC,12.3,2.05,,,
L5_SBC,L4_DBC,12.0,5.97,,,
L5_SBC,L4_LBC,14.2,5.43,,,
L5_SBC,L4_MC,15.3,6.52,,,
L5_SBC,L4_NBC,16.8,7.84,,,
L5_SBC,L4_NGC,9.33,2.49,,,
L5_SBC,L4_SBC,14.7,6.42,,,
L5_SBC,L4_SSC,13.1,5.42,,,
L5_SBC,L4_TPC,17.0,8.11,,,
L5_SBC,L4_UPC,14.2,5.93,,,
L5_SBC,L5_BP,3.67,1.21,,,
L5_SBC,L5_BTC,17.4,8.62,,,
L5_SBC,L5_CHC,15.2,5.87,,,
L5_SBC,L5_DBC,8.29,2.85,,,
L5_SBC,L5_LBC,16.9,6.35,,,
L5_SBC,L5_MC,17.6,7.48,,,
L5_SBC,L5_NBC,16.7,7.79,,,
L5_SBC,L5_NGC,8.52,1.91,,,
L5_SBC,L5_SBC,16.4,5.89,,,
L5_SBC,L5_TPC:A,22.9,9.22,,,
L5_SBC,L5_TPC:B,27.5,12.2,,,
L5_SBC,L5_TPC:C,20.1,10.1,,,
L5_SBC,L5_UPC,19.8,8.45,,,
L5_SBC,L6_BP,3.0,0.816,,,
L5_SBC,L6_BPC,11.1,4.88,,,
L5_SBC,L6_BTC,11.5,5.48,,,
L5_SBC,L6_CHC,7.67,2.43,,,
L5_SBC,L6_DBC,2.47,1.54,,,
L5_SBC,L6_HPC,11.2,4.79,,,
L5_SBC,L6_IPC,11.8,5.47,,,
L5_SBC,L6_LBC,10.5,4.3,,,
L5_SBC,L6_MC,12.4,5.93,,,
L5_SBC,L6_NBC,10.1,4.04,,,
L5_SBC,L6_NGC,5.67,0.943,,,
L5_SBC,L6_SBC,9.85,5.02,,,
L5_SBC,L6_TPC:A,10.8,4.38,,,
L5_SBC,L6_TPC:C,11.2,5.28,,,
L5_SBC,L6_UPC,10.4,3.79,,,
L5_TPC:A,L1_DAC,1.12,0.40700000000000003,,,
L5_TPC:A,L1_HAC,1.13,0.391,,,
L5_TPC:A,L1_LAC,1.15,0.35700000000000004,,,
L5_TPC:A,L1_NGC-DA,1.17,0.376,,,
L5_TPC:A,L1_NGC-SA,1.17,0.426,,,
L5_TPC:A,L1_SAC,1.15,0.433,,,
L5_TPC:A,L23_BP,1.08,0.306,,,
L5_TPC:A,L23_BTC,1.12,0.382,,,
L5_TPC:A,L23_CHC,3.26,1.69,,,
L5_TPC:A,L23_DBC,1.11,0.34299999999999997,,,
L5_TPC:A,L23_LBC,2.64,1.08,,,
L5_TPC:A,L23_MC,2.54,1.03,,,
L5_TPC:A,L23_NBC,1.14,0.34700000000000003,,,
L5_TPC:A,L23_NGC,1.09,0.319,,,
L5_TPC:A,L23_SBC,1.16,0.504,,,
L5_TPC:A,L2_IPC,2.73,1.22,,,
L5_TPC:A,L2_TPC:A,2.85,1.23,,,
L5_TPC:A,L2_TPC:B,2.62,0.978,,,
L5_TPC:A,L3_TPC:A,2.85,1.43,,,
L5_TPC:A,L3_TPC:C,2.87,1.25,,,
L5_TPC:A,L4_BP,1.11,0.34299999999999997,,,
L5_TPC:A,L4_BTC,2.82,1.45,,,
L5_TPC:A,L4_CHC,4.34,2.21,,,
L5_TPC:A,L4_DBC,1.16,0.441,,,
L5_TPC:A,L4_LBC,4.4,2.0,,,
L5_TPC:A,L4_MC,4.52,1.58,,,
L5_TPC:A,L4_NBC,5.77,2.35,,,
L5_TPC:A,L4_NGC,1.07,0.292,,,
L5_TPC:A,L4_SBC,4.13,1.74,,,
L5_TPC:A,L4_SSC,2.59,0.895,,,
L5_TPC:A,L4_TPC,3.33,1.57,,,
L5_TPC:A,L4_UPC,2.67,1.06,,,
L5_TPC:A,L5_BP,1.06,0.237,,,
L5_TPC:A,L5_BTC,7.86,3.1,,,
L5_TPC:A,L5_CHC,6.38,2.48,,,
L5_TPC:A,L5_DBC,1.08,0.271,,,
L5_TPC:A,L5_LBC,6.43,2.7,,,
L5_TPC:A,L5_MC,10.5,3.84,8.5,1.8030000000000002,70.8842814105972
L5_TPC:A,L5_NBC,7.2,2.52,,,
L5_TPC:A,L5_NGC,2.55,0.91,,,
L5_TPC:A,L5_SBC,7.37,2.28,,,
L5_TPC:A,L5_TPC:A,7.26,3.4,5.579,1.042,75.68662764520485
L5_TPC:A,L5_TPC:B,7.78,4.23,5.579,1.042,83.49772382397573
L5_TPC:A,L5_TPC:C,5.33,2.32,,,
L5_TPC:A,L5_UPC,3.96,1.74,,,
L5_TPC:A,L6_BP,1.1,0.436,,,
L5_TPC:A,L6_BPC,3.07,1.27,,,
L5_TPC:A,L6_BTC,4.49,1.89,,,
L5_TPC:A,L6_CHC,5.05,2.74,,,
L5_TPC:A,L6_DBC,1.16,0.39299999999999996,,,
L5_TPC:A,L6_HPC,3.44,1.6,,,
L5_TPC:A,L6_IPC,3.12,1.26,,,
L5_TPC:A,L6_LBC,4.99,2.4,,,
L5_TPC:A,L6_MC,6.54,2.0,,,
L5_TPC:A,L6_NBC,5.25,2.39,,,
L5_TPC:A,L6_NGC,1.32,0.614,,,
L5_TPC:A,L6_SBC,3.45,1.56,,,
L5_TPC:A,L6_TPC:A,4.04,1.67,,,
L5_TPC:A,L6_TPC:C,3.91,2.01,,,
L5_TPC:A,L6_UPC,3.46,1.55,,,
L5_TPC:B,L1_DAC,1.14,0.51,,,
L5_TPC:B,L1_HAC,1.05,0.218,,,
L5_TPC:B,L1_LAC,1.17,0.491,,,
L5_TPC:B,L1_NGC-DA,1.76,0.862,,,
L5_TPC:B,L1_NGC-SA,1.15,0.384,,,
L5_TPC:B,L1_SAC,1.07,0.324,,,
L5_TPC:B,L23_BP,1.1,0.387,,,
L5_TPC:B,L23_BTC,1.08,0.306,,,
L5_TPC:B,L23_CHC,4.16,2.08,,,
L5_TPC:B,L23_DBC,1.13,0.523,,,
L5_TPC:B,L23_LBC,1.12,0.354,,,
L5_TPC:B,L23_MC,2.61,1.1,,,
L5_TPC:B,L23_NBC,1.08,0.271,,,
L5_TPC:B,L23_NGC,1.08,0.337,,,
L5_TPC:B,L23_SBC,1.09,0.319,,,
L5_TPC:B,L2_IPC,3.07,1.82,,,
L5_TPC:B,L2_TPC:A,2.62,1.31,,,
L5_TPC:B,L2_TPC:B,2.97,1.43,,,
L5_TPC:B,L3_TPC:A,2.68,1.09,,,
L5_TPC:B,L3_TPC:C,2.66,1.37,,,
L5_TPC:B,L4_BP,1.12,0.382,,,
L5_TPC:B,L4_BTC,2.76,1.2,,,
L5_TPC:B,L4_CHC,4.12,2.05,,,
L5_TPC:B,L4_DBC,1.14,0.4,,,
L5_TPC:B,L4_LBC,3.47,1.57,,,
L5_TPC:B,L4_MC,4.29,1.91,,,
L5_TPC:B,L4_NBC,2.66,1.12,,,
L5_TPC:B,L4_NGC,1.12,0.354,,,
L5_TPC:B,L4_SBC,3.94,1.49,,,
L5_TPC:B,L4_SSC,2.7,1.03,,,
L5_TPC:B,L4_TPC,3.12,1.35,,,
L5_TPC:B,L4_UPC,3.12,1.51,,,
L5_TPC:B,L5_BP,1.11,0.34299999999999997,,,
L5_TPC:B,L5_BTC,8.56,3.52,,,
L5_TPC:B,L5_CHC,8.07,2.99,,,
L5_TPC:B,L5_DBC,1.09,0.319,,,
L5_TPC:B,L5_LBC,6.58,3.43,,,
L5_TPC:B,L5_MC,10.1,4.74,8.5,1.8030000000000002,48.907229099801306
L5_TPC:B,L5_NBC,7.92,3.79,,,
L5_TPC:B,L5_NGC,2.49,0.7809999999999999,,,
L5_TPC:B,L5_SBC,8.32,3.57,,,
L5_TPC:B,L5_TPC:A,6.35,3.06,5.579,1.042,37.59141882008775
L5_TPC:B,L5_TPC:B,5.72,2.42,5.579,1.042,8.145580589254767
L5_TPC:B,L5_TPC:C,4.16,1.66,,,
L5_TPC:B,L5_UPC,4.6,1.92,,,
L5_TPC:B,L6_BP,1.17,0.44799999999999995,,,
L5_TPC:B,L6_BPC,4.83,2.52,,,
L5_TPC:B,L6_BTC,7.58,4.02,,,
L5_TPC:B,L6_CHC,7.22,2.9,,,
L5_TPC:B,L6_DBC,1.14,0.425,,,
L5_TPC:B,L6_HPC,4.22,1.94,,,
L5_TPC:B,L6_IPC,3.96,2.07,,,
L5_TPC:B,L6_LBC,6.64,2.67,,,
L5_TPC:B,L6_MC,6.98,3.29,,,
L5_TPC:B,L6_NBC,7.38,3.09,,,
L5_TPC:B,L6_NGC,2.66,1.12,,,
L5_TPC:B,L6_SBC,5.36,2.41,,,
L5_TPC:B,L6_TPC:A,3.71,1.81,,,
L5_TPC:B,L6_TPC:C,4.05,1.73,,,
L5_TPC:B,L6_UPC,4.12,1.76,,,
L5_TPC:C,L1_DAC,1.1,0.332,,,
L5_TPC:C,L1_HAC,1.1,0.3,,,
L5_TPC:C,L1_LAC,1.1,0.332,,,
L5_TPC:C,L1_NGC-DA,1.17,0.47,,,
L5_TPC:C,L1_NGC-SA,1.15,0.409,,,
L5_TPC:C,L1_SAC,1.12,0.45299999999999996,,,
L5_TPC:C,L23_BP,1.06,0.276,,,
L5_TPC:C,L23_BTC,1.16,0.418,,,
L5_TPC:C,L23_CHC,1.22,0.5579999999999999,,,
L5_TPC:C,L23_DBC,1.05,0.26,,,
L5_TPC:C,L23_LBC,1.22,0.5579999999999999,,,
L5_TPC:C,L23_MC,1.11,0.34299999999999997,,,
L5_TPC:C,L23_NBC,1.09,0.319,,,
L5_TPC:C,L23_NGC,1.11,0.371,,,
L5_TPC:C,L23_SBC,1.12,0.382,,,
L5_TPC:C,L2_IPC,2.77,1.16,,,
L5_TPC:C,L2_TPC:A,2.57,0.982,,,
L5_TPC:C,L2_TPC:B,2.9,1.49,,,
L5_TPC:C,L3_TPC:A,2.9,1.21,,,
L5_TPC:C,L3_TPC:C,2.66,1.15,,,
L5_TPC:C,L4_BP,1.16,0.484,,,
L5_TPC:C,L4_BTC,2.54,0.805,,,
L5_TPC:C,L4_CHC,4.39,2.2,,,
L5_TPC:C,L4_DBC,1.08,0.271,,,
L5_TPC:C,L4_LBC,4.35,1.9,,,
L5_TPC:C,L4_MC,5.39,2.19,,,
L5_TPC:C,L4_NBC,5.16,2.51,,,
L5_TPC:C,L4_NGC,1.08,0.271,,,
L5_TPC:C,L4_SBC,3.99,1.57,,,
L5_TPC:C,L4_SSC,2.88,1.23,,,
L5_TPC:C,L4_TPC,3.53,1.59,,,
L5_TPC:C,L4_UPC,3.19,1.65,,,
L5_TPC:C,L5_BP,1.09,0.319,,,
L5_TPC:C,L5_BTC,6.7,2.84,,,
L5_TPC:C,L5_CHC,6.69,2.42,,,
L5_TPC:C,L5_DBC,1.14,0.375,,,
L5_TPC:C,L5_LBC,6.5,3.19,,,
L5_TPC:C,L5_MC,8.15,3.65,,,
L5_TPC:C,L5_NBC,7.28,4.01,,,
L5_TPC:C,L5_NGC,2.07,0.897,,,
L5_TPC:C,L5_SBC,7.62,3.15,,,
L5_TPC:C,L5_TPC:A,5.17,2.23,,,
L5_TPC:C,L5_TPC:B,6.54,3.24,,,
L5_TPC:C,L5_TPC:C,4.24,1.81,4.0,1.254,15.665796344647534
L5_TPC:C,L5_UPC,4.49,2.08,,,
L5_TPC:C,L6_BP,1.11,0.371,,,
L5_TPC:C,L6_BPC,3.44,1.57,,,
L5_TPC:C,L6_BTC,5.12,2.47,,,
L5_TPC:C,L6_CHC,3.41,1.86,,,
L5_TPC:C,L6_DBC,1.19,0.484,,,
L5_TPC:C,L6_HPC,3.83,2.01,,,
L5_TPC:C,L6_IPC,3.15,1.28,,,
L5_TPC:C,L6_LBC,4.66,2.61,,,
L5_TPC:C,L6_MC,4.43,2.29,,,
L5_TPC:C,L6_NBC,5.13,3.16,,,
L5_TPC:C,L6_NGC,1.25,0.654,,,
L5_TPC:C,L6_SBC,4.0,2.13,,,
L5_TPC:C,L6_TPC:A,4.35,2.46,,,
L5_TPC:C,L6_TPC:C,3.86,1.93,,,
L5_TPC:C,L6_UPC,3.77,2.1,,,
L5_UPC,L1_DAC,1.1,0.332,,,
L5_UPC,L1_HAC,1.1,0.332,,,
L5_UPC,L1_LAC,1.14,0.384,,,
L5_UPC,L1_NGC-DA,1.1,0.3,,,
L5_UPC,L1_NGC-SA,1.15,0.384,,,
L5_UPC,L1_SAC,1.14,0.47600000000000003,,,
L5_UPC,L23_BP,1.16,0.466,,,
L5_UPC,L23_BTC,1.08,0.306,,,
L5_UPC,L23_CHC,2.46,1.31,,,
L5_UPC,L23_DBC,1.15,0.433,,,
L5_UPC,L23_LBC,1.08,0.306,,,
L5_UPC,L23_MC,2.13,1.17,,,
L5_UPC,L23_NBC,1.16,0.484,,,
L5_UPC,L23_NGC,1.18,0.517,,,
L5_UPC,L23_SBC,1.05,0.218,,,
L5_UPC,L2_IPC,2.91,1.46,,,
L5_UPC,L2_TPC:A,2.64,1.06,,,
L5_UPC,L2_TPC:B,2.8,1.1,,,
L5_UPC,L3_TPC:A,2.88,1.24,,,
L5_UPC,L3_TPC:C,2.97,1.35,,,
L5_UPC,L4_BP,1.12,0.496,,,
L5_UPC,L4_BTC,1.07,0.381,,,
L5_UPC,L4_CHC,2.3,0.794,,,
L5_UPC,L4_DBC,1.08,0.306,,,
L5_UPC,L4_LBC,1.72,0.917,,,
L5_UPC,L4_MC,4.04,1.85,,,
L5_UPC,L4_NBC,2.72,1.17,,,
L5_UPC,L4_NGC,1.05,0.218,,,
L5_UPC,L4_SBC,2.42,1.27,,,
L5_UPC,L4_SSC,2.75,1.06,,,
L5_UPC,L4_TPC,2.98,1.22,,,
L5_UPC,L4_UPC,2.53,0.866,,,
L5_UPC,L5_BP,1.1,0.332,,,
L5_UPC,L5_BTC,6.1,2.69,,,
L5_UPC,L5_CHC,5.37,2.29,,,
L5_UPC,L5_DBC,1.11,0.34299999999999997,,,
L5_UPC,L5_LBC,5.99,2.55,,,
L5_UPC,L5_MC,6.43,2.67,,,
L5_UPC,L5_NBC,5.66,2.71,,,
L5_UPC,L5_NGC,1.14,0.44799999999999995,,,
L5_UPC,L5_SBC,6.69,3.14,,,
L5_UPC,L5_TPC:A,5.41,2.68,,,
L5_UPC,L5_TPC:B,5.52,3.01,,,
L5_UPC,L5_TPC:C,4.08,1.89,,,
L5_UPC,L5_UPC,4.22,1.62,,,
L5_UPC,L6_BP,1.08,0.271,,,
L5_UPC,L6_BPC,2.92,1.29,,,
L5_UPC,L6_BTC,4.17,2.17,,,
L5_UPC,L6_CHC,1.2,0.49,,,
L5_UPC,L6_DBC,1.11,0.397,,,
L5_UPC,L6_HPC,3.02,1.28,,,
L5_UPC,L6_IPC,2.86,1.28,,,
L5_UPC,L6_LBC,4.19,2.09,,,
L5_UPC,L6_MC,3.83,1.75,,,
L5_UPC,L6_NBC,3.08,1.37,,,
L5_UPC,L6_NGC,1.06,0.237,,,
L5_UPC,L6_SBC,2.27,1.18,,,
L5_UPC,L6_TPC:A,3.27,1.91,,,
L5_UPC,L6_TPC:C,3.36,1.55,,,
L5_UPC,L6_UPC,2.86,1.1,,,
L6_BP,L23_BTC,1.12,0.331,,,
L6_BP,L23_DBC,1.0,0.0,,,
L6_BP,L23_LBC,2.2,0.4,,,
L6_BP,L23_MC,7.5,6.65,,,
L6_BP,L23_NBC,1.09,0.287,,,
L6_BP,L23_NGC,4.0,0.0,,,
L6_BP,L2_IPC,1.0,0.0,,,
L6_BP,L3_TPC:A,1.12,0.382,,,
L6_BP,L3_TPC:C,1.12,0.382,,,
L6_BP,L4_BP,1.15,0.361,,,
L6_BP,L4_BTC,4.83,3.8,,,
L6_BP,L4_CHC,5.5,1.5,,,
L6_BP,L4_LBC,3.45,2.41,,,
L6_BP,L4_MC,4.12,3.0,,,
L6_BP,L4_NBC,3.9,2.23,,,
L6_BP,L4_NGC,1.0,0.0,,,
L6_BP,L4_SBC,2.0,0.0,,,
L6_BP,L4_SSC,1.12,0.325,,,
L6_BP,L4_TPC,1.25,0.606,,,
L6_BP,L4_UPC,1.23,0.63,,,
L6_BP,L5_BP,1.0,0.0,,,
L6_BP,L5_BTC,6.76,3.98,,,
L6_BP,L5_CHC,5.83,2.34,,,
L6_BP,L5_DBC,1.25,0.555,,,
L6_BP,L5_LBC,6.16,3.41,,,
L6_BP,L5_MC,7.04,3.73,,,
L6_BP,L5_NBC,6.76,5.59,,,
L6_BP,L5_NGC,2.6,1.02,,,
L6_BP,L5_SBC,9.18,4.81,,,
L6_BP,L5_TPC:A,7.09,3.91,,,
L6_BP,L5_TPC:B,9.85,5.84,,,
L6_BP,L5_TPC:C,7.6,4.37,,,
L6_BP,L5_UPC,6.23,3.22,,,
L6_BP,L6_BP,1.07,0.249,,,
L6_BP,L6_BPC,9.03,3.55,,,
L6_BP,L6_BTC,8.92,4.93,,,
L6_BP,L6_CHC,8.12,2.83,,,
L6_BP,L6_DBC,3.36,1.62,,,
L6_BP,L6_HPC,6.73,3.24,,,
L6_BP,L6_IPC,8.03,3.59,,,
L6_BP,L6_LBC,8.13,3.6,,,
L6_BP,L6_MC,7.88,4.04,,,
L6_BP,L6_NBC,7.9,4.11,,,
L6_BP,L6_NGC,5.67,2.59,,,
L6_BP,L6_SBC,7.49,2.32,,,
L6_BP,L6_TPC:A,8.98,3.85,,,
L6_BP,L6_TPC:C,11.3,5.44,,,
L6_BP,L6_UPC,9.79,4.68,,,
L6_BPC,L1_DAC,1.21,0.515,,,
L6_BPC,L1_HAC,1.07,0.292,,,
L6_BPC,L1_LAC,1.12,0.386,,,
L6_BPC,L1_NGC-DA,2.18,0.9690000000000001,,,
L6_BPC,L1_NGC-SA,1.17,0.524,,,
L6_BPC,L1_SAC,1.06,0.235,,,
L6_BPC,L23_BP,1.17,0.373,,,
L6_BPC,L23_BTC,1.16,0.46299999999999997,,,
L6_BPC,L23_CHC,1.18,0.645,,,
L6_BPC,L23_DBC,1.18,0.564,,,
L6_BPC,L23_LBC,1.1,0.3,,,
L6_BPC,L23_MC,1.1,0.361,,,
L6_BPC,L23_NBC,1.08,0.306,,,
L6_BPC,L23_NGC,1.12,0.36700000000000005,,,
L6_BPC,L23_SBC,1.15,0.456,,,
L6_BPC,L2_IPC,2.58,1.12,,,
L6_BPC,L2_TPC:A,2.56,1.06,,,
L6_BPC,L2_TPC:B,2.69,1.25,,,
L6_BPC,L3_TPC:A,2.43,0.84,,,
L6_BPC,L3_TPC:C,2.47,0.754,,,
L6_BPC,L4_BP,1.16,0.644,,,
L6_BPC,L4_BTC,1.17,0.44799999999999995,,,
L6_BPC,L4_CHC,1.12,0.40700000000000003,,,
L6_BPC,L4_DBC,1.09,0.319,,,
L6_BPC,L4_LBC,1.07,0.255,,,
L6_BPC,L4_MC,1.14,0.4,,,
L6_BPC,L4_NBC,1.05,0.218,,,
L6_BPC,L4_NGC,1.07,0.324,,,
L6_BPC,L4_SBC,1.08,0.271,,,
L6_BPC,L4_SSC,2.79,1.72,,,
L6_BPC,L4_TPC,2.7,1.0,,,
L6_BPC,L4_UPC,2.66,1.26,,,
L6_BPC,L5_BP,1.07,0.292,,,
L6_BPC,L5_BTC,1.46,0.741,,,
L6_BPC,L5_CHC,1.09,0.28600000000000003,,,
L6_BPC,L5_DBC,1.07,0.292,,,
L6_BPC,L5_LBC,2.24,0.8009999999999999,,,
L6_BPC,L5_MC,2.04,0.9259999999999999,,,
